1787,540
1476,293
1681,39
1754,841
1281,66
796,39
1351,36
1419,458
1144,56
1611,154
1392,503
1700,30
1695,836
1484,32
1257,381
1207,36
1317,380
1148,35
1238,258
1138,66
982,158
1284,30
1190,348
1351,59
1346,423
1245,39
1014,250
1351,42
1213,415
1243,35
2233,362
1472,693
1232,33
1463,553
1403,33
1618,619
1367,45
1467,464
1123,32
1884,287
1365,464
1348,36
1281,579
1523,34
1345,550
1236,32
1176,529
1495,37
1729,563
1256,31
1841,454
1347,463
1305,65
1392,417
1538,33
1577,485
1162,38
1145,265
1287,33
1118,176
1114,28
1195,508
1377,33
1314,419
1206,34
1137,278
1331,33
1303,191
1246,141
1423,31
1636,468
1275,31
1157,374
1438,38
1744,401
1487,433
1431,51
1328,427
1309,40
998,347
1156,34
1086,352
1198,35
1135,352
1591,32
1225,360
959,26
854,28
1018,34
805,27
1246,28
1077,337
873,29
659,44
724,35
1298,45
1100,310
1826,31
1836,22
1758,32
1884,32
1661175436941,35
1662163319442,41
