371,63,952
401,53,1132
386,75,800
380,71,845
360,51,1176
321,84,714
377,70,857
376,67,896
354,64,938
383,63,952
401,70,857
373,72,833
382,73,822
355,56,1071
399,72,833
350,76,789
347,67,896
353,70,857
392,66,909
399,66,909
383,76,789
336,66,909
364,77,779
406,69,870
388,68,882
382,63,952
373,83,723
407,67,896
420,79,759
400,71,845
408,51,1176
339,81,741
353,93,645
368,69,870
357,80,750
357,63,952
366,70,857
385,62,968
354,75,800
401,53,1132
383,70,857
350,82,732
346,91,659
383,64,938
367,79,759
350,89,674
322,98,612
369,67,896
429,53,1132
379,78,769
386,65,923
359,73,822
356,73,822
370,64,938
369,59,1017
392,57,1053
376,70,857
364,71,845
372,56,1071
386,66,909
287,104,577
324,92,652
373,65,923
374,70,857
382,67,896
363,73,822
410,54,1111
350,70,857
408,56,1071
380,65,923
384,53,1132
356,69,870
361,80,750
418,60,1000
383,66,909
371,60,1000
431,63,952
377,70,857
388,65,923
331,98,612
330,78,769
349,86,698
361,74,811
359,81,741
381,50,1200
431,72,833
373,67,896
383,76,789
419,63,952
393,80,750
420,68,882
342,85,706
371,75,800
328,103,583
338,93,645
406,64,938
364,79,759
397,73,822
450,66,909
241,72,833
377,73,822
387,63,952
343,101,594
414,65,923
371,57,1053
370,89,674
415,63,952
368,72,833
353,86,698
360,68,882
366,68,882
369,85,706
364,77,779
335,78,769
390,57,1053
418,65,923
411,61,984
340,86,698
353,93,645
382,70,857
380,81,741
339,80,750
386,71,845
325,92,652
339,81,741
378,73,822
372,70,857
340,80,750
386,72,833
393,76,789
347,63,952
418,61,984
350,81,741
380,63,952
362,70,857
352,58,1034
398,62,968
357,68,882
364,80,750
355,85,706
337,75,800
237,138,435
383,60,1000
362,76,789
339,69,870
387,60,1000
379,62,968
369,62,968
375,65,923
323,93,645
385,74,811
347,74,811
357,61,984
396,54,1111
413,58,1034
370,65,923
357,77,779
383,80,750
393,69,870
383,73,822
378,64,938
337,85,706
414,61,984
336,68,882
347,72,833
377,60,1000
356,86,698
342,92,652
347,103,583
331,89,674
380,70,857
358,73,822
377,72,833
378,75,800
380,71,845
409,56,1071
351,78,769
345,67,896
394,57,1053
266,75,800
415,64,938
364,72,833
439,79,759
304,92,652
347,82,732
340,84,714
367,77,779
426,66,909
406,93,645
421,64,938
349,71,845
354,84,714
392,63,952
347,84,714
394,77,779
332,94,638
377,82,732
413,53,1132
356,96,625
390,74,811
396,89,674
376,68,882
310,81,741
367,73,822
349,70,857
391,60,1000
355,69,870
438,64,938
374,64,938
368,58,1034
349,91,659
321,92,652
410,59,1017
339,74,811
329,98,612
360,79,759
465,89,674
364,81,741
321,70,857
359,59,1017
342,81,741
356,75,800
372,51,1176
358,84,714
376,66,909
351,81,741
379,56,1071
356,81,741
363,62,968
377,72,833
330,84,714
358,80,750
370,60,1000
400,67,896
412,74,811
350,86,698
335,66,909
389,77,779
352,79,759
356,88,682
353,78,769
297,89,674
407,63,952
322,115,522
353,61,984
369,98,612
368,72,833
313,98,612
330,78,769
326,86,698
362,80,750
376,76,789
346,97,619
388,60,1000
329,94,638
364,69,870
308,94,638
373,64,938
331,102,588
348,86,698
348,87,690
324,96,625
389,72,833
337,93,645
354,73,822
334,87,690
358,72,833
362,87,690
357,68,882
383,73,822
368,68,882
397,62,968
380,53,1132
423,63,952
361,73,822
375,78,769
371,68,882
362,71,845
360,71,845
370,69,870
402,82,732
350,74,811
364,78,769
399,55,1091
372,64,938
373,78,769
381,73,822
386,68,882
382,72,833
370,76,789
387,76,789
381,61,984
355,84,714
390,53,1132
350,78,769
371,73,822
363,72,833
377,87,690
359,68,882
382,73,822
329,75,800
393,65,923
444,44,1364
357,93,645
434,66,909
340,83,723
322,103,583
363,50,1200
294,100,600
362,86,698
341,68,882
404,67,896
440,50,1200
329,93,645
352,70,857
359,81,741
232,163,368
355,74,811
346,79,759
350,89,674
240,124,484
404,59,1017
396,66,909
359,76,789
357,76,789
381,67,896
355,73,822
374,63,952
375,62,968
344,75,800
388,65,923
388,63,952
358,78,769
354,84,714
383,72,833
379,76,789
384,75,800
333,92,652
357,80,750
349,81,741
328,81,741
380,71,845
354,78,769
386,58,1034
364,72,833
387,72,833
378,57,1053
359,76,789
302,112,536
368,70,857
374,63,952
359,65,923
359,58,1034
363,73,822
327,93,645
333,92,652
336,93,645
333,72,833
426,53,1132
290,101,594
452,87,690
382,68,882
362,67,896
429,50,1200
401,56,1071
371,72,833
336,80,750
359,75,800
405,81,741
373,66,909
448,61,984
369,69,870
325,89,674
381,63,952
340,96,625
397,88,682
365,69,870
339,78,769
386,61,984
303,123,488
386,88,682
293,107,561
330,85,706
369,65,923
367,54,1111
357,77,779
382,75,800
301,117,513
458,77,779
258,92,652
379,71,845
407,85,706
357,75,800
329,69,870
377,63,952
509,56,1071
336,87,690
426,66,909
341,86,698
369,83,723
387,67,896
347,82,732
418,59,1017
284,122,492
381,77,779
363,69,870
388,63,952
376,78,769
431,71,845
368,66,909
376,77,779
396,61,984
368,63,952
338,80,750
348,81,741
362,68,882
343,89,674
339,102,588
362,68,882
374,78,769
284,104,577
439,59,1017
359,71,845
367,71,845
438,70,857
362,80,750
340,81,741
417,70,857
364,65,923
358,80,750
361,93,645
381,49,1224
362,74,811
290,120,500
360,71,845
367,81,741
340,81,741
391,62,968
357,62,968
383,72,833
389,55,1091
374,65,923
363,68,882
384,62,968
325,78,769
376,70,857
363,75,800
382,63,952
361,73,822
365,84,714
386,80,750
364,75,800
