331,138
282,103
252,76
235,76
206,54
202,49
238,60
620,76
917,445
543,372
236,65
265,78
246,65
244,71
251,94
240,56
272,96
219,60
211,58
216,50
281,99
746,61
1088,582
605,405
308,117
248,89
231,62
206,50
760,57
1061,601
540,368
242,70
237,66
233,74
231,58
544,71
1078,372
752,608
199,46
210,54
183,46
183,39
204,40
189,52
935,213
769,621
198,53
192,42
196,50
197,44
193,55
190,39
788,53
1031,635
429,260
224,66
211,61
210,51
209,55
198,49
783,46
1022,636
434,277
210,46
227,62
216,66
211,56
188,53
814,42
1159,671
556,390
230,63
236,66
214,58
194,53
181,44
777,35
1014,642
411,265
205,44
189,46
189,41
204,60
183,43
871,48
1211,723
526,382
184,42
199,42
196,55
180,39
581,40
1003,441
610,461
199,42
203,52
232,54
226,82
197,45
12762883539848,55
