316,118
260,96
241,76
232,68
524,86
969,336
690,531
252,59
238,76
209,63
195,46
208,50
220,62
704,56
1019,547
542,372
231,63
229,67
218,61
219,61
205,59
749,48
991,602
451,287
260,84
214,66
199,45
226,59
186,39
813,51
1042,660
426,280
206,51
213,49
198,51
215,48
541,80
1030,359
729,569
218,60
192,52
180,40
177,38
178,36
347,41
895,205
810,589
273,117
216,61
222,55
226,70
199,47
198,52
800,48
1144,651
557,381
245,79
222,59
232,66
231,64
213,68
905,216
802,588
267,114
213,53
232,61
224,51
201,51
188,48
823,43
1130,680
398,205
197,52
178,46
196,40
192,56
176,36
606,41
1036,463
606,461
195,41
207,53
246,59
225,76
204,42
206,59
595,49
994,445
588,448
167,34
175,35
194,57
184,45
174,38
179,33
187,46
180,43
183,38
196,49
12765705210068,47
