315,145
230,59
231,65
222,65
226,56
225,67
221,59
252,66
253,82
226,61
230,65
222,68
216,54
220,59
219,60
287,58
257,104
264,83
225,64
228,59
228,70
210,58
218,48
449,63
788,292
775,390
477,303
239,74
220,64
237,68
205,57
209,56
202,52
248,49
257,88
266,76
274,96
782,64
1115,615
593,401
282,116
207,64
189,44
207,53
804,59
1107,643
530,358
221,58
196,50
193,49
212,52
212,62
798,50
1039,648
466,293
217,55
197,56
190,46
184,46
178,35
860,45
1103,717
435,285
194,48
204,50
209,60
213,48
695,70
1203,525
578,410
246,70
215,69
210,50
218,62
189,44
785,48
1021,636
426,273
204,48
202,55
206,59
192,43
177,42
854,38
1204,715
553,383
228,71
207,60
246,73
234,68
550,61
906,216
803,589
257,112
211,44
229,69
223,60
226,63
201,63
12758907054822,39
