1105,62
1229,42
897,55
927,40
1262,39
804,48
951,44
997,56
1023,39
1038,44
938,41
923,37
913,52
1162,41
935,48
925,52
1017,79
939,38
997,41
996,44
877,42
996,43
890,41
980,68
969,40
1046,45
806,42
976,42
1159,42
1268,50
834,41
742,51
969,44
846,52
1042,43
945,47
1052,36
896,46
1227,48
973,41
848,74
747,44
1034,50
840,42
750,37
699,34
1003,49
1238,58
858,47
1000,39
906,39
920,41
1051,72
1188,36
1001,92
938,46
1166,40
1083,54
1027,59
966,40
994,57
913,40
1204,54
968,43
1271,63
1279,57
1001,89
842,44
1100,45
1004,55
1109,38
1103,65
992,87
1050,46
742,92
862,42
787,50
887,38
827,37
1287,46
908,37
980,39
877,43
1047,44
836,50
967,38
794,43
899,45
686,60
726,40
1015,35
837,38
905,36
1003,46
927,44
